# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0.00611441 0.00135
38 0.9375 0.0441959 0.01165
39 0.9625 0.280483 0.08055
40 0.9875 0.844054 0.2988
41 1.0125 1.5734 0.7265
42 1.0375 2.34549 1.39595
43 1.0625 2.76375 2.22325
44 1.0875 2.93009 3.1421
45 1.1125 2.85062 4.0776
46 1.1375 2.63955 4.9832
47 1.1625 2.35366 5.8266
48 1.1875 2.04633 6.59175
49 1.2125 1.75542 7.27605
50 1.2375 1.5079 7.88835
51 1.2625 1.30681 8.44065
52 1.2875 1.14564 8.9442
53 1.3125 1.0248 9.4123
54 1.3375 0.918019 9.84775
55 1.3625 0.818411 10.2506
56 1.3875 0.731786 10.6242
57 1.4125 0.679554 10.9836
58 1.4375 0.656032 11.3431
59 1.4625 0.619426 11.6944
60 1.4875 0.588724 12.0398
61 1.5125 0.588629 12.3969
62 1.5375 0.560788 12.7484
63 1.5625 0.580602 13.1242
64 1.5875 0.572561 13.5068
65 1.6125 0.591352 13.9145
66 1.6375 0.588342 14.3328
67 1.6625 0.630138 14.7946
68 1.6875 0.661271 15.2939
69 1.7125 0.690588 15.8309
70 1.7375 0.734758 16.4191
71 1.7625 0.787817 17.0679
72 1.7875 0.833157 17.7738
73 1.8125 0.897065 18.5552
74 1.8375 0.964303 19.4185
75 1.8625 1.04215 20.377
76 1.8875 1.08295 21.4001
77 1.9125 1.13824 22.5039
78 1.9375 1.18662 23.685
79 1.9625 1.21445 24.9252
80 1.9875 1.2588 26.2437
81 2.0125 1.27433 27.6122
82 2.0375 1.29435 29.0369
83 2.0625 1.30456 30.5084
84 2.0875 1.29497 32.0046
85 2.1125 1.2795 33.5186
86 2.1375 1.27608 35.0645
87 2.1625 1.23804 36.5996
88 2.1875 1.21037 38.1353
89 2.2125 1.16911 39.6528
90 2.2375 1.11763 41.1364
91 2.2625 1.07241 42.592
92 2.2875 1.02134 44.009
93 2.3125 0.999204 45.4258
94 2.3375 0.96521 46.8241
95 2.3625 0.917355 48.1818
96 2.3875 0.898707 49.54
97 2.4125 0.872629 50.8867
98 2.4375 0.858502 52.2392
99 2.4625 0.853194 53.611
100 2.4875 0.843841 54.9954
2000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0.000239397 5e-05
37 0.9125 0.00339689 0.0008
38 0.9375 0.0504177 0.01255
39 0.9625 0.285775 0.08275
40 0.9875 0.862231 0.3057
41 1.0125 1.70051 0.76795
42 1.0375 2.42345 1.45965
43 1.0625 2.88218 2.3224
44 1.0875 3.04409 3.277
45 1.1125 2.83203 4.2064
46 1.1375 2.56231 5.0855
47 1.1625 2.27497 5.9007
48 1.1875 1.95059 6.63005
49 1.2125 1.6859 7.28725
50 1.2375 1.44929 7.87575
51 1.2625 1.24316 8.40115
52 1.2875 1.09183 8.88105
53 1.3125 0.991854 9.3341
54 1.3375 0.882179 9.75255
55 1.3625 0.792306 10.1425
56 1.3875 0.733354 10.5169
57 1.4125 0.684374 10.879
58 1.4375 0.646542 11.2332
59 1.4625 0.610698 11.5796
60 1.4875 0.590258 11.9259
61 1.5125 0.588135 12.2826
62 1.5375 0.581848 12.6473
63 1.5625 0.569403 13.0159
64 1.5875 0.592914 13.4121
65 1.6125 0.608105 13.8313
66 1.6375 0.615277 14.2688
67 1.6625 0.657429 14.7506
68 1.6875 0.686236 15.2688
69 1.7125 0.728203 15.835
70 1.7375 0.789476 16.4669
71 1.7625 0.809914 17.134
72 1.7875 0.871105 17.8721
73 1.8125 0.951768 18.7011
74 1.8375 0.990274 19.5877
75 1.8625 1.05389 20.557
76 1.8875 1.09063 21.5872
77 1.9125 1.14407 22.6968
78 1.9375 1.17818 23.8695
79 1.9625 1.21097 25.1061
80 1.9875 1.23827 26.4031
81 2.0125 1.2469 27.7421
82 2.0375 1.26582 29.1355
83 2.0625 1.27318 30.5716
84 2.0875 1.27727 32.0473
85 2.1125 1.26302 33.5418
86 2.1375 1.24958 35.0556
87 2.1625 1.2261 36.5759
88 2.1875 1.19209 38.0884
89 2.2125 1.15355 39.5857
90 2.2375 1.10965 41.0587
91 2.2625 1.06342 42.5021
92 2.2875 1.02772 43.928
93 2.3125 0.977482 45.3139
94 2.3375 0.962035 46.7077
95 2.3625 0.919281 48.0682
96 2.3875 0.885805 49.4069
97 2.4125 0.861451 50.7364
98 2.4375 0.854726 52.0828
99 2.4625 0.840071 53.4336
100 2.4875 0.827293 54.7908
3000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0.00226459 0.0005
38 0.9375 0.0512759 0.01245
39 0.9625 0.290457 0.0838
40 0.9875 0.864358 0.3073
41 1.0125 1.688 0.76615
42 1.0375 2.43974 1.4625
