SPPARKS (27 Nov 2024)
Created box = (0 0 -1.21) to (484 419.156 1.21)
  1 by 1 by 1 processor grid
Creating sites ...
  40000 sites
  40000 sites have 6 neighbors
Setting site values ...
  40000 settings made for site
Setting site values ...
  600 settings made for site
Setting site values ...
  400 settings made for site
Setting up run ...
Running with 32-bit site IDs
Memory usage per processor = 3.75 Mbytes
      Time    Naccept    Nreject    Nsweeps        CPU     Energy    Deposit  FailedDep    1stHops    2ndHops   Propnsty
         0          0          0          0          0          0          0          0          0          0      2e-09
1.00042e+11       1484          0          0      0.311          0        168         32       1284          0 1.0062e-08
2.00127e+11       2997          0          0      0.627          0        351         50       2596          0 1.54366e-08
3.00027e+11       4167          0          0      0.936          0        508         78       3581          0 6.47887e-09
4.00194e+11       5225          0          0       1.24          0        690         96       4439          0 8.27042e-09
5.00288e+11       6486          0          0       1.56          0        879        116       5491          0 7.37464e-09
6.00056e+11       7616          0          0       1.87          0       1079        130       6407          0 9.16619e-09
7.00043e+11       8696          0          0       2.18          0       1263        147       7286          0 1.18535e-08
8.00379e+11       9586          0          0       2.48          0       1436        170       7980          0 6.47887e-09
9.00048e+11      10902          0          0       2.79          0       1626        186       9090          0 1.45408e-08
1.00026e+12      11989          0          0       3.09          0       1798        209       9982          0 1.0062e-08
1.10003e+12      12979          0          0       3.39          0       1975        228      10776          0 8.27042e-09
1.20003e+12      14079          0          0        3.7          0       2164        243      11672          0 6.47887e-09
1.30001e+12      14939          0          0          4          0       2342        267      12330          0 7.37464e-09
1.40014e+12      15973          0          0       4.31          0       2536        294      13143          0   0.197569
1.50009e+12      16926          0          0       4.61          0       2717        308      13901          0 6.47887e-09
   1.6e+12      18258          0          0       4.92          0       2892        332      15034          0 1.0062e-08
1.70013e+12      19366          0          0       5.23          0       3083        349      15934          0 9.16621e-09
1.80003e+12      20497          0          0       5.53          0       3266        368      16863          0 1.18535e-08
1.90004e+12      21277          0          0       5.82          0       3438        382      17457          0 5.58311e-09
2.00013e+12      22275          0          0       6.12          0       3615        409      18251          0 3.79156e-09
2.10021e+12      23247          0          0       6.43          0       3815        420      19012          0 6.47888e-09
2.20006e+12      24316          0          0       6.73          0       3978        445      19893          0 9.1662e-09
2.30013e+12      25510          0          0       7.04          0       4167        470      20873          0 1.09577e-08
2.40011e+12      26862          0          0       7.35          0       4343        491      22028          0 1.36451e-08
2.50003e+12      28333          0          0       7.69          0       4547        510      23276          0 9.1662e-09
2.60015e+12      29646          0          0          8          0       4737        530      24379          0 1.36451e-08
2.70003e+12      30721          0          0       8.31          0       4922        545      25254          0 1.36451e-08
2.80001e+12      32335          0          0       8.63          0       5112        569      26654          0 1.18535e-08
2.90001e+12      33806          0          0       8.96          0       5312        588      27906          0 1.36451e-08
     3e+12      35276          0          0       9.27          0       5485        602      29189          0 1.54366e-08
3.10008e+12      36921          0          0       9.59          0       5671        621      30629          0 1.99155e-08
3.20009e+12      38487          0          0       9.92          0       5867        642      31978          0 1.63324e-08
3.30002e+12      39954          0          0       10.2          0       6058        663      33233          0 1.09578e-08
3.40001e+12      41381          0          0       10.6          0       6241        680      34460          0 1.0062e-08
3.50004e+12      42732          0          0       10.9          0       6409        693      35630          0 1.45409e-08
   3.6e+12      44079          0          0       11.2          0       6599        706      36774          0 3.74302e-08
3.70001e+12      45618          0          0       11.5          0       6792        720      38106          0 1.54366e-08
   3.8e+12      47467          0          0       11.8          0       6985        737      39745          0 1.8124e-08
3.90001e+12      48866          0          0       12.1          0       7161        749      40956          0 2.08113e-08
4.00013e+12      50728          0          0       12.5          0       7349        766      42613          0 1.45409e-08
4.10003e+12      52356          0          0       12.8          0       7533        786      44037          0 1.54367e-08
4.20019e+12      53790          0          0       13.1          0       7731        797      45262          0 1.63324e-08
4.30065e+12      55503          0          0       13.5          0       7944        807      46752          0 7.37469e-09
4.40001e+12      57083          0          0       13.8          0       8140        817      48126          0 1.27493e-08
   4.5e+12      58625          0          0       14.1          0       8309        830      49486          0 3.65345e-08
4.60005e+12      60590          0          0       14.5          0       8528        843      51219          0 1.54367e-08
4.70029e+12      62235          0          0       14.8          0       8718        857      52660          0 1.54367e-08
4.80006e+12      64396          0          0       15.1          0       8902        863      54631          0 1.45409e-08
4.90013e+12      65988          0          0       15.5          0       9098        878      56012          0 1.72282e-08
5.00007e+12      67778          0          0       15.8          0       9287        890      57601          0 1.72282e-08
5.10002e+12      69753          0          0       16.1          0       9476        900      59377          0 1.45409e-08
5.20005e+12      71824          0          0       16.5          0       9664        901      61259          0 2.34987e-08
5.30001e+12      74214          0          0       16.8          0       9858        912      63444          0 2.17071e-08
5.40003e+12      76206          0          0       17.2          0      10038        922      65246          0 2.34987e-08
5.50001e+12      78319          0          0       17.5          0      10230        929      67160          0 1.72282e-08
   5.6e+12      80321          0          0       17.9          0      10440        952      68929          0 3.92219e-08
5.70005e+12      82416          0          0       18.2          0      10638        956      70822          0 1.90198e-08
5.80003e+12      84456          0          0       18.5          0      10825        968      72663          0 1.90198e-08
   5.9e+12      85932          0          0       18.9          0      10996        983      73953          0 1.36452e-08
6.00009e+12      87399          0          0       19.2          0      11172        991      75236          0 1.54367e-08
6.10009e+12      88974          0          0       19.5          0      11380       1002      76592          0 1.36452e-08
   6.2e+12      90646          0          0       19.8          0      11583       1009      78054          0 1.09579e-08
6.3002e+12      92211          0          0       20.2          0      11765       1026      79420          0 1.27494e-08
6.40007e+12      93997          0          0       20.5          0      11951       1033      81013          0 1.63325e-08
