# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
21000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.0257151 0.00947266
19 0.925 0.438156 0.189844
20 0.975 1.38236 0.82207
21 1.025 2.06671 1.8667
22 1.075 2.16862 3.07236
23 1.125 1.92467 4.24424
24 1.175 1.63323 5.329
25 1.225 1.37994 6.3252
26 1.275 1.18631 7.25293
27 1.325 1.03257 8.125
28 1.375 0.910959 8.95352
29 1.425 0.822367 9.75684
30 1.475 0.805168 10.5995
31 1.525 0.772008 11.4632
32 1.575 0.760928 12.3712
33 1.625 0.749575 13.3233
34 1.675 0.801298 14.4048
35 1.725 0.827977 15.5899
36 1.775 0.89108 16.9404
37 1.825 0.945206 18.4548
38 1.875 1.00045 20.1467
39 1.925 1.06832 22.051
40 1.975 1.11005 24.1338
41 2.025 1.13919 26.3809
42 2.075 1.15497 28.7729
43 2.125 1.13772 31.2442
44 2.175 1.08709 33.718
45 2.225 1.07106 36.2686
46 2.275 1.02803 38.8279
47 2.325 0.996195 41.4183
48 2.375 0.960919 44.0255
49 2.425 0.948805 46.7094
50 2.475 0.945989 49.4968
22000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.0315474 0.0116211
19 0.925 0.434361 0.19043
20 0.975 1.36655 0.81543
21 1.025 2.09473 1.87422
22 1.075 2.14279 3.06553
23 1.125 1.92387 4.23691
24 1.175 1.6519 5.33408
25 1.225 1.38265 6.33223
26 1.275 1.14985 7.23145
27 1.325 1.03211 8.10313
28 1.375 0.92116 8.94092
29 1.425 0.859757 9.78076
30 1.475 0.798636 10.6166
31 1.525 0.758565 11.4652
32 1.575 0.766984 12.3805
33 1.625 0.758801 13.3443
34 1.675 0.787912 14.4077
35 1.725 0.827022 15.5915
36 1.775 0.884121 16.9314
37 1.825 0.945815 18.4468
38 1.875 1.009 20.1531
39 1.925 1.05731 22.0378
40 1.975 1.10277 24.1069
41 2.025 1.14409 26.3637
42 2.075 1.14898 28.7434
43 2.125 1.13377 31.2061
44 2.175 1.10301 33.716
45 2.225 1.06495 36.2521
46 2.275 1.02897 38.8138
47 2.325 1.00003 41.4141
48 2.375 0.971681 44.0505
49 2.425 0.958368 46.7614
50 2.475 0.948938 49.5575
23000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.0320777 0.0118164
19 0.925 0.424872 0.186719
20 0.975 1.36164 0.809473
21 1.025 2.0669 1.8542
22 1.075 2.19145 3.07256
23 1.125 1.93991 4.25371
24 1.175 1.66028 5.35645
25 1.225 1.36547 6.34219
26 1.275 1.17258 7.25918
27 1.325 1.02852 8.12783
28 1.375 0.903658 8.94971
29 1.425 0.850959 9.78096
30 1.475 0.786599 10.6042
31 1.525 0.771397 11.4672
