DONE: sourced file /scic/app/cpu/gaussian/16c-legacy/g16/bsd/g16.profile
LAMMPS (2 Apr 2025)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (42.08 42.08 42.08)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  2048 atoms
  read_data CPU = 0.031 seconds
2048 atoms in group Ar
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 2.8
  ghost atom cutoff = 2.8
  binsize = 1.4, bins = 31 31 31
  2 neighbor lists, perpetual/occasional/extra = 1 1 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
  (2) compute rdf, occasional, copy from (1)
      attributes: half, newton on
      pair build: copy
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.005
Per MPI rank memory allocation (min/avg/max) = 3.287 | 3.287 | 3.287 Mbytes
   Step          Temp          Press          Volume         TotEng    
         0   2              0.054944047    74512.167      2.9985352    
       100   3.6836122      0.27992572     29666.244      5.3095456    
       200   4.9089055      0.63079208     17534.95       6.8324659    
       300   5.367923       1.1281351      12086.996      7.3626725    
       400   5.4081097      1.6198185      9125.7025      7.1648633    
       500   5.1767321      1.9242747      7309.1446      6.5116254    
       600   4.7577512      2.4183108      6085.6637      5.6332734    
       700   4.3544724      2.6572172      5235.5251      4.7205726    
       800   3.9626742      3.0869909      4610.4834      3.847157     
       900   3.6392787      3.2884257      4148.8547      3.0446177    
      1000   3.3166078      3.6665026      3794.7504      2.3264211    
      1100   3.0567101      3.9459896      3515.761       1.6719888    
      1200   2.8171874      4.1438995      3310.5583      1.0823895    
      1300   2.5945458      4.4874201      3143.4303      0.56287554   
      1400   2.47246        4.4814229      3003.4065      0.10952492   
      1500   2.3203842      4.5785949      2903.0057     -0.3028459    
      1600   2.1889972      4.7002804      2819.9279     -0.64720859   
      1700   2.1022625      4.8202833      2743.0401     -0.92196608   
      1800   1.9870014      4.8392913      2699.7576     -1.181871     
      1900   1.9020732      5.0589947      2660.4381     -1.3532528    
      2000   1.9125007      4.9657471      2630.5144     -1.4608721    
      2100   1.8849008      4.8876333      2620.8071     -1.5335682    
      2200   1.8980628      4.9754155      2612.7804     -1.5301905    
      2300   1.9091761      4.9688578      2622.4456     -1.4892844    
      2400   1.9451352      4.9556271      2638.2552     -1.3946488    
      2500   1.9868529      4.9564635      2660.7448     -1.2776344    
      2600   1.9973288      5.2459074      2677.3366     -1.1438894    
      2700   2.035732       5.180812       2699.1463     -1.0497844    
      2800   2.0875761      4.9642202      2716.627      -0.97976878   
      2900   2.1072145      4.9905812      2720.2596     -0.94093289   
      3000   2.1055803      4.8801262      2721.123      -0.97607525   
      3100   2.0182005      5.2597666      2701.3592     -1.0336776    
      3200   2.0223958      4.7933428      2694.9806     -1.1550174    
      3300   1.9653478      5.1632961      2660.5569     -1.227757     
      3400   1.9430038      5.0285048      2655.1979     -1.3502792    
      3500   1.9240971      4.934391       2643.1425     -1.4113244    
      3600   1.9258828      4.8588587      2639.3263     -1.4292683    
      3700   1.8958118      4.8757435      2655.1458     -1.4277403    
      3800   1.9977837      5.1774775      2635.8706     -1.29044      
      3900   1.9666011      5.1136393      2667.3482     -1.2516374    
      4000   1.9994283      5.1352067      2679.6656     -1.1600478    
      4100   2.0661255      4.8511731      2695.9091     -1.0980778    
      4200   2.0063383      5.1369497      2709.3081     -1.0710248    
      4300   2.1055425      4.8179753      2703.8802     -1.0294402    
      4400   2.0225329      4.7081774      2726.1401     -1.092513     
      4500   2.0259122      4.9479388      2702.6993     -1.097468     
      4600   2.0654375      5.2504324      2664.0557     -1.0876203    
      4700   1.9707816      5.0120532      2682.254      -1.2344665    
      4800   1.9863235      5.0575406      2656.3168     -1.2685688    
      4900   1.9472658      4.8725064      2659.2284     -1.3553457    
      5000   1.9284951      4.9887274      2652.9606     -1.3822727    
      5100   1.966554       5.076591       2639.1409     -1.3390308    
      5200   1.9604573      4.7638317      2661.0193     -1.3452463    
      5300   1.9873724      5.0811392      2651.4688     -1.2514157    
      5400   1.987261       4.7757392      2684.8026     -1.2526587    
      5500   2.0152936      5.158938       2672.6999     -1.1429057    
      5600   1.9880131      5.4626684      2680.9454     -1.0968807    
      5700   2.0614237      4.9483188      2692.9613     -1.0839876    
      5800   1.9863759      4.7763022      2722.2842     -1.141329     
      5900   2.0248585      5.3118395      2683.7926     -1.0833893    
      6000   2.0351745      4.8967697      2684.7694     -1.1469179    
      6100   1.9928416      5.0186538      2676.0259     -1.2017135    
      6200   1.9555855      4.8967561      2676.989      -1.2799083    
      6300   1.9992466      4.8443894      2657.1481     -1.2904153    
      6400   1.9704033      4.9288876      2654.1777     -1.3174783    
      6500   1.9928988      5.2072064      2632.2998     -1.2767       
      6600   1.9292361      4.9035497      2667.3233     -1.3448115    
      6700   1.998762       4.9389191      2655.0025     -1.2670166    
      6800   2.003695       4.8321395      2669.5493     -1.240794     
      6900   1.987795       5.0520193      2684.8289     -1.1967075    
      7000   2.0665192      4.9659823      2677.8018     -1.097228     
      7100   2.0429365      4.8480609      2707.184      -1.1103302    
      7200   2.0291898      4.9743345      2704.5823     -1.0885445    
      7300   2.0560625      4.8531571      2699.0381     -1.0874076    
      7400   2.0074945      5.2085405      2685.4773     -1.1077078    
      7500   2.0123209      4.6718412      2698.6401     -1.2089809    
      7600   2.0208984      4.5636797      2685.8599     -1.2502436    
      7700   2.0095197      5.088262       2652.0223     -1.2272163    
      7800   1.9280994      4.8941282      2677.3498     -1.3280116    
      7900   1.962175       5.1781741      2647.9064     -1.2720716    
      8000   1.9746265      5.1134346      2653.6855     -1.277666     
      8100   1.9711385      4.9304824      2664.3297     -1.2777174    
      8200   1.9734851      4.9022741      2674.0674     -1.2628503    
      8300   1.9951764      5.3134063      2660.5723     -1.1804797    
      8400   1.9834868      4.3785113      2713.8706     -1.2549956    
      8500   2.0270038      5.0379846      2682.7107     -1.1363747    
      8600   2.0851823      5.3213325      2664.7494     -1.0557756    
      8700   2.0095625      4.928233       2701.4272     -1.1415109    
      8800   2.0401129      5.1175428      2673.5723     -1.1145956    
      8900   2.0126257      4.9980244      2678.1092     -1.189457     
      9000   1.949014       5.1888597      2668.6186     -1.2435193    
      9100   1.9883257      4.9190297      2660.9452     -1.2830985    
      9200   1.9615318      4.8196911      2664.5939     -1.3218239    
      9300   1.9531373      4.9592415      2660.7673     -1.319518     
      9400   1.9885128      5.1949398      2646.4473     -1.2600893    
      9500   1.9811436      4.9124575      2667.549      -1.2593925    
      9600   1.9561833      4.7007074      2697.9242     -1.2728095    
      9700   2.0646144      5.1334064      2661.7158     -1.1206543    
      9800   2.0660859      5.064708       2674.9324     -1.0980229    
      9900   2.0431642      4.6474832      2703.898      -1.1515975    
     10000   1.992425       5.3849633      2683.7455     -1.1155643    
     10100   2.0274244      4.9479265      2687.4674     -1.1409668    
     10200   2.0199077      4.9993855      2685.0583     -1.1641208    
     10300   2.0017284      5.1588287      2669.6881     -1.1799966    
     10400   1.9745071      5.0416418      2672.6562     -1.2421937    
     10500   2.0049545      4.9411273      2659.9429     -1.2604498    
     10600   1.9637122      5.0334016      2657.1931     -1.2915008    
     10700   1.9521918      4.8962361      2664.1674     -1.316857     
     10800   1.9873628      4.9283242      2655.5609     -1.287081     
     10900   1.9713053      5.1128618      2659.4618     -1.2655466    
     11000   2.0010816      4.6974863      2679.414      -1.2657349    
     11100   2.0165895      5.3692377      2653.1684     -1.1508575    
     11200   1.9876178      4.9488008      2689.8112     -1.1972768    
     11300   1.9990983      4.9153966      2691.4735     -1.1739316    
     11400   2.0417484      5.2011012      2673.5061     -1.1247229    
     11500   2.0584719      5.449781       2650.9061     -1.0849734    
     11600   1.9267783      4.9576069      2702.1238     -1.2419952    
     11700   1.9899881      5.0445879      2675.0763     -1.2042186    
     11800   2.0119331      4.9147464      2670.3318     -1.2178452    
     11900   1.95742        5.2919193      2665.0192     -1.2306434    
     12000   1.9905305      5.0831281      2660.6355     -1.2436179    
     12100   1.998699       5.2340393      2647.5869     -1.2258431    
     12200   1.9825804      4.5634811      2683.4332     -1.3118026    
     12300   1.9943335      4.9493314      2662.9823     -1.2588296    
     12400   1.9653606      5.1210015      2666.9468     -1.2460457    
     12500   1.9959258      5.0075657      2671.0711     -1.2150015    
     12600   2.0018821      5.1212782      2670.9347     -1.1734425    
     12700   1.9809184      5.1288717      2685.7042     -1.173974     
     12800   1.9734585      5.1157521      2693.6297     -1.1597053    
     12900   2.0204462      4.8613479      2697.8629     -1.1438487    
     13000   2.0500266      5.130076       2679.2871     -1.0923061    
     13100   2.0653762      5.3551316      2664.8027     -1.0728197    
     13200   1.977587       4.8749429      2698.9961     -1.1987345    
     13300   2.003871       5.1369783      2668.3628     -1.1837284    
     13400   2.0436314      4.8106589      2665.9824     -1.2317052    
     13500   1.9501445      4.8234905      2678.5859     -1.303357     
     13600   2.0005927      4.811203       2662.9093     -1.280226     
     13700   1.9677118      4.9434296      2668.8321     -1.2774449    
     13800   2.0121843      5.0981391      2656.043      -1.2222969    
     13900   2.0280666      5.1740722      2655.0605     -1.1924721    
     14000   1.9584864      4.8454769      2690.1112     -1.2436224    
     14100   2.0369267      4.9497805      2674.9967     -1.1737825    
     14200   2.0382676      5.2681178      2666.9003     -1.1313482    
     14300   2.0060611      5.0272656      2685.0838     -1.1626427    
     14400   2.0262653      5.1090041      2677.9801     -1.1523034    
     14500   2.0014751      5.1554355      2674.3228     -1.1694357    
     14600   1.9835022      5.052728       2678.0163     -1.2104051    
     14700   2.0308731      5.3171952      2648.2159     -1.1637124    
     14800   1.9900948      4.948573       2672.5726     -1.240088     
     14900   2.0015509      5.0034703      2661.6175     -1.2310907    
     15000   1.9709792      5.0222671      2667.6285     -1.2572251    
     15100   1.9464786      5.043428       2673.9705     -1.2714972    
     15200   2.0027534      5.1066463      2658.1453     -1.2243335    
     15300   1.9726248      5.2654354      2667.0248     -1.2141456    
     15400   1.9636003      4.6810059      2704.3005     -1.253818     
     15500   2.0122906      5.2986978      2670.4305     -1.1268287    
     15600   2.0311531      4.8465372      2696.8922     -1.1477251    
     15700   2.0594031      4.7775422      2695.5847     -1.1229745    
     15800   1.9911079      5.209458       2693.7268     -1.1204635    
     15900   2.0344116      5.0232236      2689.6636     -1.1192955    
     16000   1.9803376      5.3678121      2678.5864     -1.1202622    
     16100   2.0006759      5.1794072      2675.4705     -1.1618869    
     16200   2.040347       4.9821228      2666.3202     -1.1952732    
     16300   1.9659798      4.818167       2678.1825     -1.2789006    
     16400   1.9994957      4.9245402      2661.4808     -1.2790499    
     16500   1.9922718      5.3876025      2633.9388     -1.2334887    
     16600   1.9435164      4.844393       2668.4463     -1.3228495    
     16700   1.9219963      4.8390736      2677.8757     -1.3296047    
     16800   1.96962        5.1662881      2661.3009     -1.24782      
     16900   2.0518159      4.7284622      2669.8634     -1.2067316    
     17000   2.0167818      4.9828268      2682.3327     -1.179193     
     17100   2.0314214      5.2970846      2669.8055     -1.1067398    
     17200   1.9840133      4.9879114      2701.9507     -1.158175     
     17300   2.0509737      5.3322611      2664.8735     -1.0793194    
     17400   1.9370801      4.8618469      2708.3608     -1.2176642    
     17500   1.9948692      5.0402426      2681.0175     -1.1866254    
     17600   2.0558374      4.8975406      2665.6431     -1.1830669    
     17700   1.9387373      5.0315881      2680.7807     -1.2518436    
     17800   1.9770365      5.2102655      2658.3581     -1.2256046    
     17900   1.9706516      4.8259878      2678.7397     -1.2882304    
     18000   2.006065       4.9778334      2660.0526     -1.2362241    
     18100   1.9681255      4.8812349      2679.0319     -1.2571644    
     18200   1.9959108      4.9985731      2675.119      -1.2157543    
     18300   2.0225771      5.058903       2675.2966     -1.1759619    
     18400   1.9749122      5.1559176      2687.287      -1.1557093    
