DONE: sourced file /scic/app/cpu/gaussian/16c-legacy/g16/bsd/g16.profile
LAMMPS (2 Apr 2025)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (42.08 42.08 42.08)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  2048 atoms
  read_data CPU = 0.031 seconds
2048 atoms in group Ar
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 2.8
  ghost atom cutoff = 2.8
  binsize = 1.4, bins = 31 31 31
  2 neighbor lists, perpetual/occasional/extra = 1 1 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
  (2) compute rdf, occasional, copy from (1)
      attributes: half, newton on
      pair build: copy
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.005
Per MPI rank memory allocation (min/avg/max) = 3.662 | 3.662 | 3.662 Mbytes
   Step          Temp          Press          Volume         TotEng        c_MSD[4]     v_MSD_Slope  
         0   1.5            0.041208035    74512.167      2.2489014      0              3.3333333e+21
       100   2.9584212      0.25629223     26816.409      4.222596       38.716081      13.717717    
       200   4.1210857      0.60515021     15273.463      5.5466898      80.574034      14.321867    
       300   4.5825455      1.0731064      10328.991      5.9390921      114.23672      13.469462    
       400   4.5932081      1.5349206      7708.1454      5.6297296      139.74086      12.29993     
       500   4.3641472      2.0002531      6145.7045      4.9412439      159.04975      11.097845    
       600   3.9433239      2.6874136      5119.2155      4.0774458      173.3621       9.9627908    
       700   3.5938619      3.0807353      4425.9816      3.1931611      184.07011      8.9362885    
       800   3.2952532      3.3232888      3915.0637      2.3351506      192.82299      8.0308627    
       900   2.9415347      3.7784608      3558.0397      1.5394074      199.2377       7.2426719    
      1000   2.6806687      4.0124501      3281.9911      0.82944064     204.99999      6.5548589    
      1100   2.4906519      4.1011514      3080.5195      0.1859459      210.14173      5.9656435    
      1200   2.2667895      4.3580447      2922.6026     -0.38019963     214.2673       5.454705     
      1300   2.0769157      4.4973318      2801.0927     -0.88329103     217.05902      5.0049043    
      1400   1.9116694      4.6125826      2703.8981     -1.3187229      218.50997      4.5989426    
      1500   1.75212        4.8384198      2632.8666     -1.6989346      220.2557       4.2330623    
      1600   1.6737843      4.9820889      2559.3771     -1.9895792      222.38699      3.9090828    
      1700   1.6215192      4.7222317      2511.4108     -2.262672       223.55386      3.6208129    
      1800   1.5156115      4.7745345      2481.6623     -2.5039632      224.54566      3.3620724    
      1900   1.4604154      4.9056327      2448.1717     -2.6584588      225.74683      3.1289022    
      2000   1.4361425      4.8668123      2424.0198     -2.7737368      226.65692      2.9199412    
      2100   1.3886771      5.1131333      2410.1448     -2.8514535      227.09584      2.7301742    
