DONE: sourced file /scic/app/cpu/gaussian/16c-legacy/g16/bsd/g16.profile
LAMMPS (2 Apr 2025)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (35.36 35.36 35.36)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  2048 atoms
  read_data CPU = 0.062 seconds
2048 atoms in group Ne
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 2.8
  ghost atom cutoff = 2.8
  binsize = 1.4, bins = 26 26 26
  2 neighbor lists, perpetual/occasional/extra = 1 1 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
  (2) compute rdf, occasional, copy from (1)
      attributes: half, newton on
      pair build: copy
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.005
Per MPI rank memory allocation (min/avg/max) = 3.598 | 3.598 | 3.598 Mbytes
   Step          Temp          Press          Volume         TotEng        c_MSD[4]     v_MSD_Slope  
         0   1.5            0.069450013    44211.655      2.2489014      0              3.3333333e+21
       100   2.7762391      0.35734827     19008.888      3.7808714      20.325645      7.1793126    
       200   3.7795771      0.82793232     11634.185      4.8812035      45.322973      8.0642341    
       300   4.2412341      1.4042328      8223.7658      5.2229798      66.532877      7.9151636    
       400   4.2943745      2.0035044      6344.175       4.9561905      82.98282       7.4096362    
       500   4.0728654      2.6944779      5207.3657      4.3381325      94.779335      6.770247     
       600   3.7878389      3.1748784      4469.7115      3.543373       103.65371      6.1076375    
       700   3.4889078      3.4393704      3958.6907      2.69918        110.25621      5.490045     
       800   3.1566224      3.8463944      3591.3563      1.8786268      115.76502      4.9431458    
       900   2.8611301      4.1320956      3319.8772      1.1243893      120.65036      4.4760533    
      1000   2.5679127      4.3354695      3117.8868      0.4394779      124.82704      4.0733476    
      1100   2.335742       4.5007519      2969.6902     -0.16653512     127.38029      3.7200659    
      1200   2.1916956      4.3436003      2834.2329     -0.67169318     129.56614      3.4027417    
      1300   1.9931914      4.6474189      2735.0393     -1.1304583      131.56985      3.1225586    
      1400   1.8257433      4.7764762      2658.6232     -1.5352142      133.25163      2.8756474    
      1500   1.7304439      4.953267       2583.6278     -1.8505296      134.42681      2.6538916    
      1600   1.6351096      5.0064414      2527.2322     -2.1329143      135.93277      2.4563821    
      1700   1.5581556      4.8420212      2494.5294     -2.3924793      136.88844      2.2814915    
      1800   1.5025704      5.0116232      2453.0311     -2.5643914      137.56291      2.1234549    
      1900   1.4586657      4.9271575      2430.1359     -2.7134852      138.40533      1.9798975    
      2000   1.3893435      5.0962981      2415.9445     -2.8229568      138.96302      1.8514005    
      2100   1.4218704      5.0240743      2399.0325     -2.8613533      139.53718      1.7345371    
      2200   1.387692       4.9970601      2405.0924     -2.8880072      139.36751      1.6265678    
      2300   1.4630967      4.9458079      2401.9739     -2.8230547      139.75101      1.5275089    
      2400   1.4436239      5.1603443      2414.2316     -2.7409536      139.96768      1.4364283    
      2500   1.4517524      4.8790043      2447.1297     -2.6802062      139.49268      1.3525302    
      2600   1.5702614      5.0540225      2436.7259     -2.5107452      140.04173      1.2749475    
      2700   1.520348       4.9896502      2469.6347     -2.4769398      140.09973      1.2037675    
      2800   1.5459607      5.235092       2468.318      -2.3978815      140.38139      1.1384229    
      2900   1.601363       4.795142       2477.5098     -2.3899448      140.79933      1.0785947    
      3000   1.5709156      4.9472529      2475.8301     -2.4094357      141.13517      1.0238386    
      3100   1.5504908      5.0717176      2462.7878     -2.4500662      141.55322      0.97350707   
      3200   1.5422526      4.9705041      2451.1414     -2.5277285      142.07776      0.92753685   
      3300   1.4779064      5.1543145      2435.5948     -2.6155156      142.44107      0.88512265   
      3400   1.4695542      4.816392       2433.3524     -2.7172216      142.75992      0.84618981   
      3500   1.4375482      5.0661519      2419.6074     -2.7574793      143.1491       0.80996446   
      3600   1.4277147      5.148553       2414.643      -2.7782869      143.5943       0.77632363   
      3700   1.4853206      5.1637493      2400.1076     -2.7307601      144.38654      0.74517969   
      3800   1.4474238      5.1707027      2419.3382     -2.7252282      144.2744       0.71627441   
      3900   1.4589446      5.1074424      2431.7633     -2.6732704      144.44056      0.68918778   
