# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
21000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0 0
5 2.25 0 0
6 2.75 0.15631 0.203906
7 3.25 1.5058 2.94531
8 3.75 2.48793 8.97266
9 4.25 0.900112 11.7727
10 4.75 0.42111 13.4086
11 5.25 0.6013 16.2617
12 5.75 0.735256 20.4461
13 6.25 1.57791 31.0547
14 6.75 1.33438 41.518
15 7.25 0.770932 48.4914
16 7.75 0.901765 57.8117
17 8.25 1.06603 70.2969
18 8.75 0.785461 80.6445
19 9.25 0.8463 93.1039
20 9.75 1.4933 117.529
22000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0 0
5 2.25 0 0
6 2.75 0.211408 0.275781
7 3.25 1.51825 3.03984
8 3.75 2.40021 8.85469
9 4.25 0.926985 11.7383
10 4.75 0.453689 13.5008
11 5.25 0.582365 16.2641
12 5.75 0.769163 20.6414
13 6.25 1.54166 31.0063
14 6.75 1.32312 41.3813
15 7.25 0.788637 48.5148
16 7.75 0.907813 57.8977
17 8.25 1.05002 70.1953
18 8.75 0.79667 80.6906
19 9.25 0.867685 93.4648
20 9.75 1.4485 117.157
23000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0 0
5 2.25 0 0
6 2.75 0.252732 0.329688
7 3.25 1.51009 3.07891
8 3.75 2.31637 8.69063
9 4.25 0.961895 11.6828
10 4.75 0.482246 13.5563
11 5.25 0.574462 16.282
12 5.75 0.785087 20.75
13 6.25 1.51505 30.9359
14 6.75 1.32172 41.3
15 7.25 0.803407 48.5672
16 7.75 0.904033 57.9109
17 8.25 1.04062 70.0984
18 8.75 0.80515 80.7055
19 9.25 0.892998 93.8523
20 9.75 1.40575 116.845
24000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0 0
5 2.25 0.000893426 0.00078125
6 2.75 0.307829 0.402344
7 3.25 1.51009 3.15156
8 3.75 2.22124 8.53281
9 4.25 1.00158 11.6484
10 4.75 0.497932 13.5828
11 5.25 0.572322 16.2984
12 5.75 0.811719 20.918
13 6.25 1.48333 30.8906
14 6.75 1.3016 41.0969
15 7.25 0.83424 48.643
16 7.75 0.900178 57.9469
17 8.25 1.02608 69.9641
18 8.75 0.812148 80.6633
19 9.25 0.913853 94.1172
20 9.75 1.37403 116.591
25000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0 0
5 2.25 0.00982769 0.00859375
6 2.75 0.343763 0.457031
7 3.25 1.5161 3.21719
8 3.75 2.13933 8.4
9 4.25 1.02292 11.582
10 4.75 0.519048 13.5984
11 5.25 0.572157 16.3133
12 5.75 0.831762 21.0469
13 6.25 1.45695 30.8422
14 6.75 1.29034 40.9602
15 7.25 0.850305 48.6516
16 7.75 0.903958 57.9945
17 8.25 1.01253 69.8531
18 8.75 0.825076 80.7227
19 9.25 0.928128 94.3867
20 9.75 1.34103 116.321
26000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0 0
5 2.25 0.0178685 0.015625
6 2.75 0.390476 0.525
7 3.25 1.51181 3.27734
8 3.75 2.05484 8.25547
9 4.25 1.05181 11.5273
10 4.75 0.540163 13.6258
11 5.25 0.575285 16.3555
12 5.75 0.843705 21.157
13 6.25 1.43801 30.825
14 6.75 1.2741 40.8156
15 7.25 0.868788 48.6742
16 7.75 0.906376 58.0422
17 8.25 0.99559 69.7023
18 8.75 0.836224 80.7188
19 9.25 0.94686 94.6586
20 9.75 1.31528 116.172
27000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0 0
5 2.25 0.0178685 0.015625
6 2.75 0.439585 0.589063
7 3.25 1.5028 3.325
8 3.75 1.96874 8.09453
9 4.25 1.09927 11.5141
10 4.75 0.548006 13.643
11 5.25 0.579072 16.3906
12 5.75 0.865669 21.3172
13 6.25 1.4107 30.8016
14 6.75 1.25716 40.6594
15 7.25 0.88753 48.6875
16 7.75 0.909098 58.0836
17 8.25 0.98445 69.6133
18 8.75 0.845831 80.7562
19 9.25 0.955563 94.8242
20 9.75 1.29303 115.973
28000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0 0
5 2.25 0.0339502 0.0296875
6 2.75 0.479711 0.655469
7 3.25 1.4925 3.37266
8 3.75 1.90069 7.97734
9 4.25 1.1264 11.4812
10 4.75 0.556051 13.6414
11 5.25 0.597348 16.4758
12 5.75 0.879809 21.4828
13 6.25 1.37979 30.7594
14 6.75 1.24341 40.5094
15 7.25 0.91871 48.8195
16 7.75 0.899196 58.1133
17 8.25 0.973177 69.5109
18 8.75 0.857692 80.8102
19 9.25 0.965062 95.018
20 9.75 1.26881 115.771
29000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0 0
5 2.25 0.0491384 0.0429688
6 2.75 0.52343 0.725781
7 3.25 1.47061 3.40313
8 3.75 1.83394 7.84609
9 4.25 1.13293 11.3703
10 4.75 0.590238 13.6633
11 5.25 0.609697 16.5562
12 5.75 0.893948 21.6438
13 6.25 1.35388 30.7461
14 6.75 1.22678 40.3656
15 7.25 0.939438 48.8633
16 7.75 0.905167 58.2188
17 8.25 0.954966 69.4031
18 8.75 0.869078 80.8523
19 9.25 0.973606 95.1859
20 9.75 1.25061 115.641
30000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0 0
5 2.25 0.0696872 0.0609375
6 2.75 0.576731 0.813281
7 3.25 1.42856 3.41406
8 3.75 1.78847 7.74688
9 4.25 1.14046 11.2945
10 4.75 0.615577 13.6859
11 5.25 0.625503 16.6539
12 5.75 0.897792 21.7633
13 6.25 1.34133 30.7812
14 6.75 1.20525 40.232
15 7.25 0.963103 48.9438
16 7.75 0.904411 58.2914
17 8.25 0.941959 69.3234
18 8.75 0.883133 80.9578
19 9.25 0.977267 95.3453
20 9.75 1.23017 115.466
31000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0 0
5 2.25 0.0920229 0.0804688
6 2.75 0.602483 0.866406
7 3.25 1.41826 3.44844
8 3.75 1.74784 7.68281
9 4.25 1.13694 11.2195
10 4.75 0.635486 13.6883
11 5.25 0.642627 16.7375
12 5.75 0.902322 21.8727
13 6.25 1.32448 30.7773
14 6.75 1.18114 40.0391
15 7.25 0.992037 49.0125
16 7.75 0.90358 58.3516
17 8.25 0.929952 69.243
18 8.75 0.895052 81.0344
19 9.25 0.986766 95.5617
20 9.75 1.20858 115.33
32000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0 0
5 2.25 0.110785 0.096875
6 2.75 0.639614 0.93125
7 3.25 1.39595 3.47266
8 3.75 1.70978 7.61484
9 4.25 1.13443 11.1438
10 4.75 0.653586 13.6828
11 5.25 0.658927 16.8094
12 5.75 0.914814 22.0156
13 6.25 1.29636 30.7312
14 6.75 1.16441 39.8617
15 7.25 1.01156 49.0117
16 7.75 0.901236 58.3266
17 8.25 0.927083 69.1844
18 8.75 0.908218 81.1492
19 9.25 0.988199 95.6977
20 9.75 1.19783 115.29
33000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0 0
5 2.25 0.141161 0.123438
6 2.75 0.642609 0.961719
7 3.25 1.38693 3.48672
8 3.75 1.67044 7.53359
9 4.25 1.14799 11.1047
10 4.75 0.664043 13.6844
11 5.25 0.661397 16.8227
12 5.75 0.933484 22.1352
13 6.25 1.27521 30.7086
14 6.75 1.14826 39.7125
15 7.25 1.02106 48.9484
16 7.75 0.905772 58.3102
17 8.25 0.925549 69.15
18 8.75 0.914148 81.193
19 9.25 0.995416 95.8477
20 9.75 1.18599 115.246
34000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0 0
5 2.25 0.160817 0.140625
6 2.75 0.659378 1.00078
7 3.25 1.37964 3.5125
8 3.75 1.62916 7.45937
