# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
50100 20
1 0.12 0 0 0 0 0 0
2 0.36 0 0 0 0 0 0
3 0.6 0 0 0 0 0 0
4 0.84 0 0 0 0 0 0
5 1.08 0 0 0 0 0 0
6 1.32 0 0 0 0 0 0
7 1.56 0 0 0 0 0 0
8 1.8 0 0 0 0 1.46238 0.7875
9 2.04 0 0 0 0 4.61889 3.98125
10 2.28 0.123525 0.025 0 0 1.62851 5.3875
11 2.52 1.41588 0.375 0.639988 0.3375 0.515546 5.93125
12 2.76 3.37283 1.375 2.6482 2.0125 0.0642287 6.0125
13 3 1.10633 1.7625 3.16173 4.375 0.0418219 6.075
14 3.24 1.07097 2.2 1.56342 5.7375 0.458985 6.875
15 3.48 0.371359 2.375 0.254895 5.99375 1.27758 9.44375
16 3.72 0 2.375 0.2394 6.26875 1.23781 12.2875
17 3.96 0 2.375 1.42607 8.125 0.588193 13.8187
18 4.2 0 2.375 1.63916 10.525 0.714999 15.9125
19 4.44 0.0651905 2.425 0.77923 11.8 2.00346 22.4688
20 4.68 0.689457 3.0125 0.691061 13.0563 2.38261 31.1313
50200 20
1 0.12 0 0 0 0 0 0
2 0.36 0 0 0 0 0 0
3 0.6 0 0 0 0 0 0
4 0.84 0 0 0 0 0 0
5 1.08 0 0 0 0 0 0
6 1.32 0 0 0 0 0 0
7 1.56 0 0 0 0 0 0
8 1.8 0 0 0 0 1.23026 0.6625
9 2.04 0 0 0 0 4.5285 3.79375
10 2.28 0.0617626 0.0125 0 0 1.99763 5.51875
11 2.52 1.61814 0.4125 0.770356 0.40625 0.420733 5.9625
12 2.76 3.20419 1.3625 2.32211 1.875 0.029644 6
13 3 1.60596 1.925 3.43776 4.44375 0.0501862 6.075
14 3.24 0.734377 2.225 1.46302 5.71875 0.491258 6.93125
15 3.48 0.318307 2.375 0.242461 5.9625 1.33664 9.61875
16 3.72 0 2.375 0.250281 6.25 1.18612 12.3438
17 3.96 0 2.375 1.28682 7.925 0.573789 13.8375
18 4.2 0 2.375 1.78856 10.5437 0.783297 16.1313
19 4.44 0.0814881 2.4375 0.77923 11.8187 2.03975 22.8062
20 4.68 0.601441 2.95 0.677309 13.05 2.2279 30.9062
50300 20
1 0.12 0 0 0 0 0 0
2 0.36 0 0 0 0 0 0
3 0.6 0 0 0 0 0 0
4 0.84 0 0 0 0 0 0
5 1.08 0 0 0 0 0 0
6 1.32 0 0 0 0 0 0
7 1.56 0 0 0 0 0 0
8 1.8 0 0 0 0 1.10259 0.59375
9 2.04 0 0 0 0 5.09795 4.11875
10 2.28 0.0617626 0.0125 0.0289512 0.0125 1.76602 5.64375
11 2.52 1.82041 0.4625 0.237033 0.1375 0.296291 5.95625
12 2.76 2.8669 1.3125 2.31223 1.6 0.029644 5.99375
13 3 1.67734 1.9 3.98981 4.58125 0.0209109 6.025
14 3.24 0.856773 2.25 1.50605 5.89375 0.469743 6.84375
15 3.48 0.238731 2.3625 0.105688 6 1.29623 9.45
16 3.72 0.0232145 2.375 0.163227 6.1875 1.31942 12.4812
17 3.96 0 2.375 1.32524 7.9125 0.501765 13.7875
18 4.2 0 2.375 1.85686 10.6312 0.599745 15.5437
19 4.44 0.0814881 2.4375 0.656998 11.7063 1.96908 21.9875
20 4.68 0.484087 2.85 0.629175 12.85 2.66454 31.675
50400 20
1 0.12 0 0 0 0 0 0
2 0.36 0 0 0 0 0 0
3 0.6 0 0 0 0 0 0
4 0.84 0 0 0 0 0 0
5 1.08 0 0 0 0 0 0
6 1.32 0 0 0 0 0 0
7 1.56 0 0 0 0 0 0
8 1.8 0 0 0 0 1.39274 0.75
9 2.04 0 0 0 0 4.646 3.9625
10 2.28 0 0 0.0144756 0.00625 1.79498 5.5125
11 2.52 1.41588 0.35 0.65184 0.35 0.391104 5.925
12 2.76 3.33067 1.3375 2.63832 2.01875 0.059288 6
13 3 1.60596 1.9 3.27047 4.4625 0.066915 6.1
14 3.24 0.856773 2.25 1.3913 5.675 0.430299 6.85
15 3.48 0.265256 2.375 0.298413 5.975 1.19676 9.25625
16 3.72 0 2.375 0.255722 6.26875 1.33846 12.3313
17 3.96 0 2.375 1.37805 8.0625 0.559384 13.7875
18 4.2 0 2.375 1.60501 10.4125 0.768357 16.0375
19 4.44 0.0977858 2.45 0.802149 11.725 2.00919 22.6125
20 4.68 0.572102 2.9375 0.725442 13.0437 2.34308 31.1313
50500 20
1 0.12 0 0 0 0 0 0
2 0.36 0 0 0 0 0 0
3 0.6 0 0 0 0 0 0
4 0.84 0 0 0 0 0 0
5 1.08 0 0 0 0 0 0
6 1.32 0 0 0 0 0 0
7 1.56 0 0 0 0 0 0
8 1.8 0 0 0 0 1.29989 0.7
